"","Fuel.Combustion.Activites","Energy.Industries","Manufacturing.Industries.and.Construction","Transport","Commercial.Institutional","Residential","Industrial.Processes.and.Product.Use","Agriculture","Waste.and.Others","Indirect.CO2","International.aviation","International.maritime.transport","year"
"...4",4123.61000086,1666.06258532,829.44315082,778.67621751,198.39639124,504.17739144,325.53280669,14.74944438,5.21434768,4.21843481,68.50501339,109.38726857,1990
"...5",4101.487564,1632.046771,789.864853,786.074495,206.607839,546.183401,297.869671,12.106179,5.17427,3.998797,67.420189,107.829494,1991
"...6",3972.645574,1573.509382,753.056774,809.219869,186.61203,514.636691,283.318695,10.424168,5.224377,3.800436,72.917279,109.468346,1992
"...7",3896.991402,1506.769316,726.052997,813.427906,184.840644,529.517942,276.998877,10.049031,5.103349,3.706624,76.956931,110.186685,1993
"...8",3861.600026,1513.427278,724.597904,819.302436,172.465476,496.749958,294.817513,9.828899,4.832286,3.609452,80.411556,109.923545,1994
"...9",3896.538526,1514.848831,741.631873,830.75772,174.564009,499.072318,304.499845,10.706757,4.654264,3.515152,84.979213,109.987228,1995
"...10",4007.095144,1543.89161,733.6466,856.273043,192.058222,544.61905,297.307638,10.653491,4.537389,3.419582,89.077331,117.812485,1996
"...11",3914.963418,1499.408054,724.937168,867.068938,177.926094,512.388299,302.225369,10.446131,3.940429,3.312365,93.210488,127.831944,1997
"...12",3909.228182,1516.145419,689.501057,895.875893,179.820137,500.347888,300.660907,10.720893,3.78825,3.226611,99.996892,133.311336,1998
"...13",3852.802626,1471.138087,672.504088,914.872833,180.788264,488.270284,291.913447,10.647363,3.49101,3.024598,108.469819,127.933756,1999
"...14",3862.367892,1501.897202,678.753646,911.711817,173.315841,474.141295,304.858321,10.186423,3.424988,2.872564,114.39114,134.560351,2000
"...15",3945.442821,1543.854039,660.905093,925.647113,186.532597,507.756827,293.222092,9.765149,3.485597,2.735534,112.789217,139.754125,2001
"...16",3924.292079,1560.648841,641.091725,937.870966,176.919645,488.763532,292.139157,9.839783,3.738036,2.600183,109.783771,144.81465,2002
"...17",4003.787336,1610.217271,646.213305,947.253875,178.112873,501.317363,302.18665,10.364145,4.022304,2.561416,114.183066,146.986317,2003
"...18",4001.654237,1598.532166,638.000354,966.896959,182.956164,494.315615,314.397832,10.261522,3.708486,2.459536,121.861889,156.442913,2004
"...19",3982.319928,1588.377783,631.570957,966.855436,182.745719,489.907517,310.523162,9.924983,3.775837,2.474353,129.872925,160.535989,2005
"...20",3984.270364,1598.947493,622.128781,974.272915,188.888477,479.882961,313.351449,9.552362,3.812976,2.463192,135.321156,172.146251,2006
"...21",3928.990936,1608.221551,625.402076,984.032142,167.315088,426.626093,318.324657,9.698522,3.766311,2.389058,139.859362,179.996847,2007
"...22",3849.53995,1536.534246,597.23298,959.810452,184.109897,456.459897,299.245433,9.572599,3.691964,2.290382,140.4874,181.324915,2008
"...23",3576.93924,1412.97187,495.41196,933.02473,177.74468,446.86396,234.94701,9.59205,3.56719,2.1357,129.96011,162.44899,2009
"...24",3671.346049,1439.173814,526.999509,927.390486,185.675988,479.071257,256.959115,9.268038,3.651658,2.179752,130.526987,159.665653,2010
"...25",3527.557964,1413.347792,511.971281,915.393167,164.228112,411.367931,255.710784,9.664457,3.457408,2.062233,134.199478,161.320052,2011
"...26",3482.362153,1405.851068,491.101823,885.96941,168.363064,422.903342,242.084331,9.625865,3.467453,1.987928,132.322037,148.870263,2012
"...27",3396.979822,1330.304389,482.554082,878.748423,170.281917,425.645041,239.770677,9.994678,3.345578,1.838438,133.519927,140.891459,2013
"...28",3222.704568,1246.508748,475.361388,885.981629,149.785341,357.424406,244.192058,10.460442,3.351382,1.775779,135.650125,137.781389,2014
"...29",3257.617901,1233.186227,477.593477,902.860517,159.832954,377.325653,243.605996,10.284496,3.018557,1.773806,139.952918,136.721341,2015
"...30",3241.109679,1186.115577,478.194505,921.764437,159.843824,387.96993,242.704887,10.641865,3.08911,1.716033,146.69093,143.513395,2016
"...31",3253.659986,1167.337567,493.720063,934.931937,160.416468,388.844716,248.306904,10.366171,3.157006,1.705289,156.864584,144.150939,2017
