"","Fuel.Combustion.Activites","Energy.Industries","Manufacturing.Industries.and.Construction","Transport","Commercial.Institutional","Residential","Industrial.Processes.and.Product.Use","Agriculture","Waste.and.Others","Indirect.CO2","International.aviation","International.maritime.transport","Indirect.GHG","year"
"...4",4348.66526902,1675.65311437,836.12833313,793.20042054,201.01590809,527.49799323,517.18791781,543.25494526,240.42120985,"4.2184348099999998",69.14119088,110.72082531,4.21843481,1990
"...5",4316.348574,1641.506132,796.275827,800.395185,208.776314,570.848076,482.533723,512.1378,244.025848,"   3.998797",68.038024,109.111363,3.998797,1991
"...6",4180.116883,1582.73857,759.219728,823.90798,188.235842,537.142217,464.043832,489.592317,246.077511,"   3.800436",73.588159,110.811114,3.800436,1992
"...7",4101.866335,1515.716183,731.926984,828.344822,186.440689,552.705076,455.416164,477.217269,247.040621,"   3.706624",77.665975,111.56307,3.706624,1993
"...8",4054.216826,1522.473672,730.374067,834.888515,173.759792,517.729321,483.301788,471.191366,246.587286,"   3.609452",81.150364,111.332643,3.609452,1994
"...9",4090.128875,1524.080216,747.742918,847.269769,176.014295,519.579551,498.415704,472.567227,247.43219,"   3.515152",85.75991,111.444068,3.515152,1995
"...10",4198.34861,1553.377173,739.717038,873.615611,193.487918,566.448274,499.606871,474.068039,246.648371,"   3.419582",89.897647,119.279892,3.419582,1996
"...11",4106.520972,1508.660279,731.056481,884.851742,179.386727,532.826298,505.127536,471.054088,243.614228,"   3.312365",94.071501,129.402829,3.312365,1997
"...12",4090.831154,1525.467355,695.760911,914.063628,181.108907,519.524092,482.376231,468.158983,240.153113,"   3.226611",100.919405,134.933048,3.226611,1998
"...13",4028.465119,1480.254435,678.66795,932.100549,182.105152,506.881839,442.865012,466.580168,234.733623,"   3.024598",109.470387,129.483368,3.024598,1999
"...14",4020.63333,1511.185108,685.009953,926.942349,174.625264,491.646001,455.568475,461.255344,231.454754,"   2.872564",115.442139,136.179849,2.872564,2000
"...15",4100.286273,1553.478036,667.262605,939.98634,187.836947,525.334501,440.415779,455.039588,227.37677,"   2.735534",113.824189,141.412424,2.735534,2001
"...16",4074.807525,1570.508137,647.596282,951.333261,178.207178,504.814085,436.607817,448.043671,223.463823,"   2.600183",110.793213,146.477003,2.600183,2002
"...17",4153.852246,1620.728653,652.965294,960.254835,179.422485,518.436321,450.374964,443.96929,217.386185,"   2.561416",115.224919,148.656695,2.561416,2003
"...18",4144.897757,1609.232942,644.965875,979.644399,184.313094,510.762978,466.890029,444.72457,208.856293,"   2.459536",122.972273,158.212051,2.459536,2004
"...19",4122.581408,1599.158646,638.558468,978.83846,184.107243,507.029429,465.83338,438.00447,202.009361,"   2.474353",131.053187,162.325607,2.474353,2005
"...20",4119.700524,1610.161131,628.769388,985.974619,190.298477,497.247535,464.704427,434.277961,195.841974,"   2.463192",136.546905,174.04412,2.463192,2006
"...21",4060.635059,1619.706401,632.173699,995.39315,168.731512,444.279081,475.982846,436.696045,189.111298,"   2.389058",141.12675,181.96109,2.389058,2007
"...22",3981.143014,1548.054597,603.818606,970.708028,185.621643,475.398989,450.780304,433.936785,181.139326,"   2.290382",141.760343,183.307708,2.290382,2008
"...23",3702.145,1424.2385,501.0027,943.2257,179.3034,466.0292,376.7664,427.8496,175.1394,"   2.1357",131.1426,164.2566,2.1357,2009
"...24",3798.12133,1450.938981,532.95654,937.607438,187.278228,499.631373,394.307592,423.381312,167.81755,"   2.179752",131.712232,161.436628,2.179752,2010
"...25",3650.603348,1425.220512,517.999276,925.532843,165.776028,429.18737,389.848304,423.874604,162.055958,"   2.062233",135.415417,163.103137,2.062233,2011
"...26",3606.173472,1417.949509,496.999866,895.985359,169.916659,442.15653,377.313412,421.653842,157.923981,"   1.987928",133.523561,150.517721,1.987928,2012
"...27",3517.191093,1342.336227,488.428699,888.747145,171.716578,445.034831,375.33345,425.222887,151.173032,"   1.838438",134.730873,142.456006,1.838438,2013
"...28",3337.943073,1258.245206,481.139929,896.142032,151.108965,374.548498,381.329648,432.870254,145.492793,"   1.775779",136.88031,139.311161,1.775779,2014
"...29",3373.598284,1245.166478,483.524984,913.263603,161.161598,395.228762,376.732566,433.822111,143.160242,"   1.773806",141.217925,138.245339,1.773806,2015
"...30",3354.721961,1197.91386,484.045661,932.470153,161.187802,406.137445,373.724631,434.836625,140.108652,"   1.716033",148.008165,145.121715,1.716033,2016
"...31",3367.824369,1179.303957,499.836465,945.87155,161.778127,407.121681,377.478425,438.994201,138.866156,"   1.705289",158.268301,145.76534,1.705289,2017
