"","Fuel.Combustion.Activites","Energy.Industries","Manufacturing.Industries.and.Construction","Transport","Commercial.Institutional","Residential","Industrial.Processes.and.Product.Use","Agriculture","Waste.and.Others","Indirect.CO2","International.aviation","International.maritime.transport","year"
"...4",365.30043025,65.9889621,77.73538472,120.81161618,30.3973713,54.65210982,31.4922269,1.76549283,2.20857629,0,8.46296018,7.9540962,1990
"...5",391.175075,67.439496,86.844861,123.355098,32.635083,64.948852,31.021744,1.765795,2.208195,0,8.309359,8.2485,1991
"...6",382.682356,68.54272,80.027191,127.884042,29.607061,60.515298,28.988489,1.60531,2.24924,0,9.749277,7.997267,1992
"...7",363.544027,56.424068,76.511178,127.798705,27.472904,59.147069,28.109054,1.756369,2.235591,0,10.098947,7.737806,1993
"...8",356.555207,52.881125,77.003836,128.751606,24.298605,57.41866,29.846282,1.739457,2.287142,0,10.518269,6.902962,1994
"...9",363.099689,55.632323,79.396508,130.446864,24.826807,56.69566,30.276683,1.851859,2.237588,0,10.601085,7.119503,1995
"...10",379.916682,60.34634,82.013496,131.887339,28.653191,60.480269,29.162396,1.786406,2.109731,0,11.26413,7.475582,1996
"...11",372.482172,56.73415,80.807797,134.196138,26.999814,57.310008,29.527756,1.954501,1.90586,0,11.560746,8.201772,1997
"...12",391.305635,69.181125,80.311227,136.256096,30.797811,58.152063,30.322294,1.936505,1.772143,0,12.504656,9.049807,1998
"...13",388.366962,62.621188,78.855885,139.38626,31.71417,59.479082,29.598681,1.923034,1.651497,0,13.836829,9.15154,1999
"...14",382.600006,62.257634,77.416516,138.916969,29.734896,57.767394,29.826294,1.826103,1.718604,0,14.362189,9.458045,2000
"...15",388.05129,56.043662,78.576758,141.681701,30.350075,64.791482,29.117056,1.797542,1.655022,0,14.332334,8.015512,2001
"...16",383.418043,58.858162,75.421352,142.593189,28.301098,62.305195,28.986239,1.80052,1.628924,0,14.403929,7.763984,2002
"...17",390.22832,62.125162,74.843752,141.941765,31.224272,64.341338,28.825088,1.851616,1.632676,0,14.598824,8.411089,2003
"...18",390.251227,61.056399,70.984953,142.512802,33.654551,65.633786,30.036345,1.828024,1.503973,0,15.548719,9.598082,2004
"...19",393.802856,66.508565,72.438709,140.333025,33.138859,65.314567,29.779881,1.799612,1.564786,0,15.742166,8.777194,2005
"...20",383.759067,62.480018,72.006938,139.698857,31.802171,61.776682,28.872515,1.731843,1.626615,0,16.576501,9.128182,2006
"...21",372.97498821,62.08253962,69.4885739,138.36406001,30.02884571,56.9483309,29.25417075,1.75653247,1.50270899,0,17.25671513,9.36935094,2007
"...22",368.31988601,60.88129733,67.04270042,131.88494443,30.93691524,61.04427993,27.54550077,1.7733421,1.5568414,0,17.36204659,8.15780925,2008
"...23",355.05126631,58.96851104,53.39024026,130.48076941,32.81119605,63.2834706,23.62959828,1.87591912,1.53133004,0,15.90484508,8.15264828,2009
"...24",360.54074817,59.48775151,58.32112301,133.40527831,30.6110434,63.10960094,25.78969441,1.81344756,1.61402675,0,15.98725258,7.91674924,2010
"...25",336.406325,51.158019,56.64842,133.438083,26.832917,53.078198,25.23389,1.866739,1.653832,0,16.610896,8.481616,2011
"...26",338.94050999,52.43375194,55.18915582,131.85822026,31.52047976,53.76804034,23.30337032,1.98075167,1.54349108,0,16.28515687,8.01398826,2012
"...27",339.67902709,52.0600937,55.25859082,131.25592885,32.71891527,54.00872891,23.66695655,1.88380404,1.5445938,0,16.2020772,7.3124682,2013
"...28",308.63859854,39.44706475,53.81003744,131.03103673,28.41554526,41.68666706,22.95175433,1.95848948,1.79369053,0,16.34423759,6.23542051,2014
"...29",315.24193111,41.53126547,52.37654475,132.10898267,30.8007951,44.41264525,22.23563537,2.00301264,1.54971257,0,17.27242154,5.56259513,2015
"...30",317.48291421,44.83507749,50.61318219,132.61688076,29.44857754,46.03559835,21.87079109,2.01382918,1.51364509,0,17.00337929,5.26744299,2016
"...31",320.61904139,49.23993318,50.71561909,133.01732172,28.59324027,46.4317649,22.32667758,1.94319783,1.57152232,0,17.24669138,5.58021943,2017
