"","GHG.national.total.emissions...index.1990","Total.GHG.per.capita...t.CO2.eq..cap","GHG.Intensity.of.fuel.commbustion...kg.CO2.eq..toe","Total.GHG...GDP.Intensity...ton.CO2.eq..M..10","year"
"...4",1,9.5895871286509,1683.80166203154,389.208697464572,1990
"...5",1.04843,10.00737,1705.81573,403.82523,1991
"...6",1.030008,9.782645,1694.951958,390.484375,1992
"...7",0.9914694,9.371673,1587.2947623,378.2520932,1993
"...8",0.9807575,9.2361671,1615.1713635,365.5446603,1994
"...9",0.9949882,9.3368795,1578.7461802,363.1972279,1995
"...10",1.027349,9.607,1557.966955,369.78482,1996
"...11",1.0146,9.455358,1571.104959,356.858581,1997
"...12",1.041025,9.667872,1600.813551,353.46815,1998
"...13",1.029064,9.521262,1582.915089,337.847859,1999
"...14",1.018587,9.364169,1538.95508,321.782636,2000
"...15",1.027179,9.375897,1509.187587,318.184807,2001
"...16",1.015149,9.199001,1484.528185,310.927625,2002
"...17",1.023844,9.211801,1474.723862,311.030646,2003
"...18",1.022443,9.135969,1449.645425,302.057615,2004
"...19",1.025408,9.092304,1453.009276,297.977358,2005
"...20",1.00467,8.844068,1434.991741,284.97122,2006
"...21",0.98743617733903,8.63562270884632,1406.85694165965,273.452437055227,2007
"...22",0.975844874199082,8.48596747274951,1381.56368618777,269.555217514407,2008
"...23",0.93713097452102,8.10586890168808,1385.17151144551,266.519308347863,2009
"...24",0.948536625639886,8.1653620838884,1364.50712993007,264.604762102132,2010
"...25",0.9023719,7.7297201,1298.3808564,246.3254266,2011
"...26",0.901506453266052,7.68702202566562,1307.17805069119,245.320991725014,2012
"...27",0.901519234579628,7.64923846092285,1304.47504191596,243.918702219155,2013
"...28",0.846908598660924,7.12444687375597,1232.54879853218,226.972751093512,2014
"...29",0.857491079722321,7.18175694455427,1237.84490952726,227.279451095563,2015
"...30",0.858396847099563,7.16989789114206,1267.78238235145,224.885997913865,2016
"...31",0.865932288034471,7.21489539530054,1278.49202574162,222.060971824026,2017
