"","Fuel.Combustion.Activites","Energy.Industries","Manufacturing.Industries.and.Construction","Transport","Commercial.Institutional","Residential","Industrial.Processes.and.Product.Use","Agriculture","Waste.and.Others","Indirect.CO2","International.aviation","International.maritime.transport","year"
"...4",571.44237622,234.76472313,95.61162671,118.64812872,25.44198253,78.22816909,24.52731944,1.34003666,1.30048035,0,15.3366505,8.91475023,1990
"...5",581.598772,232.501917,98.727259,117.876489,28.218071,86.952527,22.217191,1.341292,1.283621,0,15.082565,8.872076,1991
"...6",566.117631,221.265766,96.04789,119.298962,27.749689,84.328617,22.199093,1.243363,1.284584,0,16.718295,9.082042,1992
"...7",552.732196,205.278419,93.412277,120.520983,27.294361,88.353045,21.993587,0.829201,1.228443,0,17.933859,8.82972,1993
"...8",546.496809,203.40419,92.530485,121.901027,26.718046,84.020583,24.151451,1.224731,1.021712,0,18.712114,8.189474,1994
"...9",537.3959907,201.08364,89.2015657,121.3106785,26.8998731,79.6221473,24.726035,1.2191437,0.9814616,0,19.9141206,8.7030593,1995
"...10",557.9312293,202.9314471,90.124502,125.9056413,28.7486796,90.7491914,25.7045229,1.2716226,0.9897333,0,21.0569123,9.6345326,1996
"...11",534.5157261,190.6229968,89.2369361,127.2324383,26.5790554,83.5874749,24.0341787,0.5637451,0.5878827,0,22.4101002,10.5434481,1997
"...12",539.6638148,196.3442932,88.2058353,126.9288308,26.4990732,85.4947221,23.4061734,0.9995915,0.5927169,0,24.9750731,11.1579223,1998
"...13",532.835902,187.134419,90.1661934,128.2263849,26.9533229,85.2978701,23.357728,1.1228288,0.5395486,0,27.1145602,8.9452113,1999
"...14",541.0961578,198.0216262,90.0997002,126.8960824,26.3874157,85.5515853,22.2034219,0.7629253,0.5319053,0,29.9198557,8.1798079,2000
"...15",551.9304327,208.7129788,87.7902338,126.57398,26.5658341,87.8308264,20.5704351,0.5689466,0.5448989,0,29.1582572,8.8224612,2001
"...16",536.3886318,207.0388575,79.210876,129.1311296,22.3555556,84.4039029,19.9584331,0.746673,0.5243289,0,28.6383596,7.911248,2002
"...17",545.9245701,214.6929886,80.6305473,128.563601,22.7853914,85.2096464,21.258456,1.4845173,0.5016595,0,29.331859,7.6336764,2003
"...18",546.0078179,212.7071551,79.5735616,129.7077646,23.3053519,86.9269017,22.5342399,1.6208376,0.4610674,0,32.1763527,8.7650161,2004
"...19",543.8432308,212.9218226,80.4438918,130.7068605,23.2641881,82.4159616,21.2916458,1.6091,0.4021681,0,34.7562225,8.8601798,2005
"...20",542.4332637,219.0016323,78.7317575,130.2498664,21.0880149,79.8241373,20.318378,1.5857165,0.2838821,0,35.2658788,9.7714244,2006
"...21",532.3073675,213.7900476,76.9898755,131.4690381,19.9157194,76.3068116,21.9254316,1.6026699,0.3480445,0,35.1097801,9.9386114,2007
"...22",520.002044,208.1710386,72.1411563,126.1300308,22.9452949,78.1774842,20.0634644,1.5719383,0.3000217,0,34.3384263,13.3965881,2008
"...23",475.4944637,185.0258059,62.1343249,121.5446409,19.4569768,74.9975405,14.3226552,1.5036763,0.2764952,0,32.5443242,13.1814732,2009
"...24",491.7954012,192.3863574,62.0889025,119.7583964,20.9390102,84.4514895,15.8923952,1.4449894,0.2707614,0,31.4879887,11.5909038,2010
"...25",450.4926026,178.2721444,57.3879544,117.8307332,18.0017389,67.2725067,14.8185113,1.5645848,0.2661917,0,32.943795,12.4253355,2011
"...26",468.4646998,189.351116,57.1319138,117.047171,20.3807162,73.6341654,15.0300008,1.3626319,0.2645915,0,32.072579,10.9907367,2012
"...27",456.9216203,177.079197,57.5377892,115.8362607,21.0163085,74.4518881,16.8663801,1.1488486,0.2612061,0,32.3194521,10.9880352,2013
"...28",418.1124936,152.411381,57.2822624,117.3576012,18.066048,61.9378521,16.4269289,1.5030383,0.2659358,0,32.5630471,11.557077,2014
"...29",402.3905569,132.8649631,54.9390678,119.9191076,19.200328,64.441867,16.0097761,1.2685915,0.2484938,0,33.1159921,10.6826342,2015
"...30",382.0315365,110.7816861,51.2024613,122.3658856,19.8640091,66.9132511,13.8669516,1.2913671,0.2669142,0,33.3835151,11.3124146,2016
"...31",369.1251682,101.4413826,51.0239957,122.3480467,19.2120508,64.0829196,14.2727639,1.2806262,0.2586178,0,34.581314,10.5894823,2017
