"","Fuel.Combustion.Activites","Energy.Industries","Manufacturing.Industries.and.Construction","Transport","Commercial.Institutional","Residential","Industrial.Processes.and.Product.Use","Agriculture","Waste.and.Others","Indirect.CO2","International.aviation","International.maritime.transport","Indirect.GHG","year"
"...4",612.36581191,236.33463148,96.04970605,121.33746059,25.55699324,79.98551031,66.55731301,48.76238045,66.67726287,"0",15.49075025,9.04363197,0,1990
"...5",623.029318,234.077072,99.165944,120.526912,28.339392,88.878663,64.781607,48.465453,67.261402,"  0.000000",15.232915,9.000187,0,1991
"...6",606.996935,222.793238,96.484193,121.957833,27.866,86.048596,60.374796,47.814532,67.449943,"  0.000000",16.883517,9.213143,0,1992
"...7",591.625329,206.676676,93.829792,123.21672,27.407055,90.240264,56.998716,46.794585,67.921715,"  0.000000",18.11031,8.957288,0,1993
"...8",578.057523,204.856649,92.964593,124.661131,26.823301,85.659661,60.310676,47.750751,68.208819,"  0.000000",18.895348,8.307491,0,1994
"...9",569.934763,202.531157,89.616137,124.18854,26.999325,80.915165,60.850007,47.550244,69.201822,"  0.000000",20.108527,8.828852,0,1995
"...10",588.763349,204.368116,90.521125,128.59102,28.853167,92.152915,62.943719,48.19942,69.521154,"  0.000000",21.262155,9.773841,0,1996
"...11",563.26761,191.96414,89.62383,129.82106,26.67421,84.84336,64.1462,47.47684,68.98924,"  0.00000",22.6283,10.69628,0,1997
"...12",565.89053,197.74951,88.57554,129.39775,26.58943,86.7211,60.74233,47.67142,67.99204,"  0.00000",25.21747,11.31925,0,1998
"...13",556.229686,188.456856,90.525347,130.622791,27.042408,86.552327,42.705941,47.737774,65.258645,"  0.000000",27.376421,9.074414,0,1999
"...14",562.636927,199.416795,90.442043,129.184396,26.472412,86.657829,40.579619,45.529655,62.919072,"  0.000000",30.207596,8.297752,0,2000
"...15",572.124826,210.211265,88.131924,128.670399,26.650665,88.94211,38.770127,43.078598,60.905618,"  0.000000",29.438009,8.949216,0,2001
"...16",555.757773,208.591794,79.545666,131.111885,22.423624,85.353859,37.01353,42.811558,59.678449,"  0.000000",28.913058,8.025226,0,2002
"...17",563.53299,216.230394,80.971432,130.388215,22.853198,86.099246,39.30218,43.713488,55.884508,"  0.000000",29.612958,7.744119,0,2003
"...18",563.160171,214.208255,79.92906,131.4257,23.373874,87.780898,40.422697,43.821322,51.697738,"  0.000000",32.48416,8.891712,0,2004
"...19",559.159173,214.456081,80.782963,132.34135,23.334366,83.169881,39.592798,43.276163,49.10722,"  0.000000",35.088566,8.988737,0,2005
"...20",556.826633,220.517378,79.072342,131.784283,21.151091,80.564574,38.794861,42.238725,45.950981,"  0.000000",35.603037,9.913101,0,2006
"...21",546.07371,215.20165,77.32967,132.94127,19.97523,77.05084,41.13569,41.72435,42.90188,"  0.00000",35.44536,10.08301,0,2007
"...22",533.12382,209.52665,72.46408,127.39451,23.0128,79.00161,39.36535,40.74812,38.43061,"  0.00000",34.66649,13.59166,0,2008
"...23",488.28223,186.29224,62.42127,122.68078,19.51509,75.83474,32.70847,40.44079,34.39383,"  0.00000",32.85512,13.37325,0,2009
"...24",504.46967,193.66412,62.39873,120.87964,21.00041,85.44095,35.45215,40.60276,29.83035,"  0.00000",31.78858,11.7594,0,2010
"...25",462.72253,179.53624,57.68736,118.95224,18.05553,68.13602,31.94821,40.69492,27.80796,"  0.00000",33.25821,12.60611,0,2011
"...26",480.87533,190.76655,57.43143,118.17854,20.44031,74.60939,32.28709,40.32517,26.24152,"  0.00000",32.37858,11.15008,0,2012
"...27",468.23311,178.4274,57.82351,116.98659,21.07766,75.53177,34.38544,40.1235,23.19655,"  0.00000",32.62792,11.14688,0,2013
"...28",428.98094,153.68795,57.60015,118.55305,18.11959,62.91407,34.09801,41.48637,20.96633,"  0.00000",32.87384,11.72353,0,2014
"...29",412.87624,134.15623,55.27251,121.16048,19.2549,65.49263,33.60138,40.87095,20.73988,"  0.00000",33.432,10.83386,0,2015
"...30",391.48461,111.89914,51.54662,123.65458,19.92053,68.00558,30.76812,40.89088,20.12435,"  0.00000",33.70206,11.47247,0,2016
"...31",378.61818,102.56856,51.39711,123.65334,19.26663,65.16251,30.22265,41.24744,20.42099,"  0.00000",34.91111,10.73933,0,2017
